ID,query,answer
256,What's the discharge current for the ATL Amperex 8045135 battery?,0.88 A
257,What is the max continuous discharge current for the ATL Amperex 8235138 battery?,3.8 A
258,How much does the ATL Amperex 8845135 battery weigh?,0.105 kg
259,What's the charging current of the Advanced Electronics Energy AE8867220PMHRE battery?,4.85 A
260,How tall is the Amita Technologies 120155250L-AL40 battery?,0.012 myyy
261,What is the diameter of the Amita Technologies 120155250N-AM44E battery?,Not cylindrical
262,Tell me the rated capacity of the Amita Technologies 120155250NH-NH02 battery.,45.0 Ah
263,What's the cycle life of the Amita Technologies 120155250NH-NH04 battery?,3000
264,What's the nominal voltage of the Amita Technologies 120155250P-LF01 battery?,3.2 V
265,What is the upper voltage limit for the Amita Technologies 5099130NRS battery?,4.2 V
266,What's the lower voltage limit for the Amita Technologies 7799130N battery?,2.8 V
267,How much discharge current does the Amita Technologies 7799130ND battery support?,35.1 A
268,What's the max continuous discharge for the Amita Technologies 7799130P battery?,37.5 A
269,How heavy is the Amita Technologies 8399130NE battery?,0.235 kg
270,What's the charging current of the Amita Technologies 9299130N battery?,13 A
271,How tall is the Amita Technologies 9299130NE battery?,0.0092 m
272,What's the diameter of the Amprius Wuxi Lead ANW3.6-455055 battery?,Not cylindrical
273,What's the capacity rating for the Amprius Wuxi Lead E485795CH battery?,5.0 Ah
274,How many cycles can the AutoEnergy 50Ah 55380 battery go through?,Not available
275,What's the nominal voltage of the Auto Energy Technology YT185185185 battery?,2.4 V
276,What's the upper voltage limit for the BAK 26650HC2 battery?,4.2 V
277,What's the lower voltage limit for the BAK N21700CB-48 battery?,2.5 V
278,How much discharge current can the BAK N21700CG-50 battery handle?,15 Ayyy
279,What's the max continuous discharge current for the BMZ Sony 21700 50EL battery?,14 A
280,How much does the BMZ Sony 21700 52E battery weigh?,0.07 kg
281,What's the charging current for the BMZ Sony 21700 52EM battery?,1.05 A
282,How tall is the BMZ TerraE INR 21700 50 E battery?,0.0709 m
283,What's the diameter of the BMZ TerraE INR 21700 58 E battery?,0.0217 m
284,Tell me the rated capacity of the Battronix LCB8570170EC1 battery.,12.6 Ah
285,What's the cycle life of the CALB 26650FS3 battery?,2000.0 cycles
286,What's the nominal voltage of the CALB CA100 battery?,3.2 V
287,What's the upper voltage limit for the CALB CA40 battery?,3.65 A
288,What's the lower voltage limit for the CALB CA400 battery?,2.5 V
289,How much discharge current does the CALB CA60 battery support?,120 A
290,What's the max continuous discharge for the CALB CAM72 battery?,216 A
291,How heavy is the CALB L135F72 (CAM72) battery?,1.78 kg
292,What's the charging current of the CALB L148N50B battery?,25.0 A
293,How tall is the CALB L160F100B battery?,0.0499 m
294,What's the diameter of the CALB LFP176Ah battery?,Not cylindrical
295,What's the capacity rating for the CALB SE180AHA battery?,180.0 Ah
296,How many cycles can the CATL 100Ah LiFePO4 battery go through?,Not available
297,What's the nominal voltage of the CATL 120Ah LiFePO4 battery?,3.2 V
298,What's the upper voltage limit for the CATL 280Ah LiFePO4 battery?,3.65 V
299,What's the lower voltage limit for the CATL 50Ah CATL 811 battery?,4.2 V
300,How much discharge current can the CATL LEP54H4K1 battery handle?,202 A
301,What's the maximum continuous discharge current for the CATL LEP71H3L7-01 battery?,302 A
302,How much does the COSLIGHT FP45173209A battery weigh?,3.84 kg
303,What's the charging current of the CRJ Technology RJ-LFP71173200-271 battery?,54.2 A
304,How tall is the Chengdu Jianzhong ICR26650 battery?,0.065 m
305,What is the diameter of the Dongguan K-Tech INR21700P-4000mAh battery?,0.0218 m
306,Tell me the rated capacity of the E-One Moli IBR-26700A battery.,3.5 Ah
307,What's the cycle life of the EAS Batteries HE-341440 battery?,2000 cycles
308,What's the nominal voltage of the EAS Batteries HE-602030 battery?,3.6 V
309,What's the upper voltage limit for the EAS Batteries HP-601300 battery?,4.2 V
310,What's the lower voltage limit for the EAS Batteries UHP-341440 battery?,3 V
311,How much discharge current does the ECO POWER EC-AU228-NAH3L4 battery support?,456 A
312,What's the max continuous discharge for the ELERIX EX-T30K battery?,180 Ayyy
313,How heavy is the ENAX ENL-LM20 battery?,0.55 kg
314,What's the charging current of the ENAX ENS-XE36 battery?,0.78 A
315,How tall is the ENAX ENW-LM08 battery?,0.0055 m
316,What's the diameter of the ENERDEL CE175-360 Moxie+ battery?,Not cylindrical
317,What's the capacity rating for the ENERDEL CE250-370 Moxie+ battery?,17.5 Ah
318,How many cycles can the ENERDEL CP160-365 Moxie+ battery go through?,4000 cycles
319,What's the nominal voltage of the ENERTECH 58253172V4 30Ah battery?,3.7 V
320,What's the upper voltage limit for the ENERTECH SPB704684 battery?,4.2 V
321,What's the lower voltage limit for the ENERTECH SPB 58253172EG1 17Ah battery?,2.5 V
322,How much discharge current can the ENERTECH SPB 58253172P3 23Ah battery handle?,115 A
323,What's the max continuous discharge current for the ENERTECH SPB 58253172P4 battery?,75 A
324,How much does the ENERTECH SPB 58253172V2 22Ah battery weigh?,0.48 kg
325,What's the charging current for the ENERTECH SPB 58253172V3 25Ah battery?,8.3 A
326,How tall is the ENERTECH SPB 59235172PG1 battery?,0.0058 m
327,What's the diameter of the ENERTECH SPB 70115145 12Ah battery?,Not cylindrical
328,Tell me the rated capacity of the ENERTECH SPB 90190260V2 40Ah battery.,40 Ah
329,What's the cycle life of the EVE Energy D11 battery?,3000.0 cycles
330,What's the nominal voltage of the EVE Energy D12 battery?,3.68 V
331,What's the upper voltage limit for the EVE Energy D13 battery?,4.2 V
332,What's the lower voltage limit for the EVE Energy D21 battery?,2.7 V
333,How much discharge current does the EVE Energy INP42P battery support?,84 A
334,What's the max continuous discharge for the EVE Energy INP50E battery?,100 A
335,How heavy is the EVE Energy INP60E battery?,0.87 kg
336,What's the charging current of the EVE Energy INP72P battery?,14.4 A
337,How tall is the EVE Energy INP80E battery?,0.039 m
338,What's the diameter of the EVE Energy LF105-73103 battery?,Not cylindrical
339,What's the capacity rating for the EVE Energy LF280-72174 battery?,280.0 Ah
340,How many cycles can the EVE Energy LF280K-72174 battery go through?,2500.0 cycles
341,What's the nominal voltage of the EVE Energy LF280N-72174 battery?,3.2 V
342,What's the upper voltage limit for the EVE Energy LF304-72174 battery?,3.65 V
343,What's the lower voltage limit for the EVE Energy LF50 battery?,2.0 V
344,How much discharge current can the EVE Energy LF56K battery handle?,56 A
345,What's the max continuous discharge current for the EVE Energy LF75 battery?,75 A
346,How much does the EVE Energy LF90K battery weigh?,1.99 kg
347,What's the charging current for the Eagle Picher LP 32975 battery?,6.0 A
348,How tall is the Eagle Picher LP 33037 battery?,0.034 m
349,What's the diameter of the Eagle Picher LP 33081 battery?,Not cylindrical
350,Tell me the rated capacity of the Eagle Picher LP 33330 battery.,6.0 Ah
